source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,lum_val
65225744180143104,56.69350373996743,0.9682365886865608,24.123444352603588,0.7333762217468357,1.1133595666512601,1.1014503175654358,20.045813,0.40675163,,,"NOT_AVAILABLE",,,
65225473597572736,56.7184673274668,7.3731235676878155,24.101886621041476,2.5782554480465976,,,20.89752,-0.11787796,,,"NOT_AVAILABLE",,,
65227122864064256,56.71646299121774,1.172956268422281,24.180183611268635,0.7029782718186739,3.600586538610159,1.3218989402730164,20.512098,0.2172451,,,"NOT_AVAILABLE",,,
65226053417788160,56.70421360195288,0.35101604730418867,24.12378709011984,0.20993958954766367,3.5416280711151766,0.3823777156482269,18.8492,1.7103138,,,"NOT_AVAILABLE",,,
65226160792340608,56.71084130129245,5.375395642204431,24.13595524345886,2.2100570780941107,,,20.933592,0.2076931,,,"NOT_AVAILABLE",,,
65226122137270272,56.702575980171616,0.22121911338422545,24.12572935135154,0.11834409210584884,1.2672463087697283,0.23324927500934753,17.876781,1.7312756,,,"NOT_AVAILABLE",,,
65225885913490048,56.73639927222993,1.5469240879216077,24.12450493358991,0.7708324467095228,-0.0552704543864949,1.6873697150422127,20.471706,0.74186134,,,"NOT_AVAILABLE",,,
65214169243260800,56.77435940186224,1.4433432661324042,24.1106861765795,0.8070294921759248,1.1966229821231562,1.6971548237955938,20.675657,0.61642265,,,"NOT_AVAILABLE",,,
65214061869072512,56.75299343233099,0.36244960534800785,24.108197009785467,0.21256059647814396,0.9740526724840471,0.39670351743269733,18.913187,0.5553417,,,"NOT_AVAILABLE",,,
65213340314487808,56.74001934493037,0.9488255476866826,24.057149022391474,0.5453119948365643,0.6195017970716911,1.0639453201619358,20.20847,0.26400948,,,"NOT_AVAILABLE",,,
65213340314477568,56.74671886750079,0.37972007215398995,24.050829966278158,0.23980572109367054,-0.03497529956520423,0.4087459353172069,19.138351,0.9950409,,,"NOT_AVAILABLE",,,
