g_abs,bp_rp,dist,ra,dec,radius_val,teff_val
23.97858323127333,,1.457385453460973,273.44767250483704,-31.324795631491394,,
24.000484740833215,,1.4699644952979638,273.59600167921036,-26.080371755472424,,
24.353159064938538,,1.477812537378756,278.29887881360327,-13.518868729422346,,
24.088203745591315,1.1350498,1.4812445586319156,256.52634405260085,-34.471846432708546,,
24.76301917126988,0.7023449,1.4816197974582488,269.29339113005227,-15.491524358623273,,
24.285906140009526,,1.4830567726949462,269.8972970515682,-30.44383788083162,,
24.774350223802088,1.0786934,1.487177127842705,277.6300762020955,-21.542352648074893,,
23.805807441026445,,1.4978133536717746,271.8350691777865,-28.603828584017812,,
24.90870404488987,,1.511465042037561,268.37616533339235,-21.091010963326692,,
23.45880274268384,1.9071579,1.5243576112445203,268.767763826673,-32.08690952230798,,
